"","V1"
"1",0.80864
"2",0.71499
"3",0.98438
"4",0.28104
"5",0.78383
"6",0.37661
"7",0.12696
"8",0.04564
"9",0.6598
"10",0.13252
"11",0.28562
"12",0.65613
"13",0.19962
"14",0.00816
"15",0.48796
"16",0.62057
"17",0.76278
"18",0.88418
"19",0.02358
"20",0.31374
"21",0.42773
"22",0.4318
"23",0.01271
"24",0.03896
"25",0.11697
"26",0.15429
"27",0.59071
"28",0.92121
"29",0.66535
"30",0.05407
"31",0.44341
"32",0.50344
"33",0.45547
"34",0.07159
"35",0.04383
"36",0.61889
"37",0.38367
"38",0.19628
"39",0.29876
"40",0.16636
"41",0.37535
"42",0.11829
"43",0.27766
"44",0.36092
"45",0.04701
"46",0.68669
"47",0.02155
"48",0.22293
"49",0.15628
"50",0.31906
"51",0.02707
"52",0.86423
"53",0.32886
"54",0.16202
"55",0.06794
"56",0.83545
"57",0.35281
"58",0.00701
"59",0.44358
"60",0.07629
"61",0.17122
"62",0.90378
"63",0.12228
"64",0.07479
"65",0.0187
"66",0.1476
"67",0.12008
"68",0.0272
"69",0.03001
"70",0.88004
"71",0.27826
"72",0.72706
"73",0.74309
"74",0.52328
"75",0.19165
"76",0.2844
"77",0.12886
"78",0.84697
"79",0.15559
"80",0.77477
"81",0.20938
"82",0.79484
"83",0.06655
"84",0.05346
"85",0.50719
"86",0.42085
"87",0.36505
"88",0.14763
"89",0.07935
"90",0.00711
"91",0.18435
"92",0.6997
"93",0.82931
"94",0.70377
"95",0.88911
"96",0.93802
"97",0.1683
"98",0.68053
"99",0.04718
"100",0.34045
"101",0.93471
"102",0.90805
"103",0.12874
"104",0.1132
"105",0.02464
"106",0.44494
"107",0.08502
"108",0.01899
"109",0.20182
"110",0.38488
"111",0.39294
"112",0.53481
"113",0.56766
"114",0.04864
"115",0.34072
"116",0.71906
"117",0.21826
"118",0.56762
"119",0.17989
"120",0.0735
"121",0.26074
"122",0.40113
"123",0.0961
"124",0.08098
"125",0.87657
"126",0.55385
"127",0.71853
"128",0.02051
"129",0.09088
"130",0.02458
"131",0.36948
"132",0.86273
"133",0.59688
"134",0.74437
"135",0.51809
"136",0.48483
"137",0.18024
"138",0.84879
"139",0.00016
"140",0.55888
"141",0.07607
"142",0.54598
"143",0.14665
"144",0.27064
"145",0.58512
"146",0.64913
"147",0.00177
"148",0.82564
"149",0.80642
"150",0.8817
"151",0.38792
"152",0.60023
"153",0.53916
"154",0.67297
"155",0.03892
"156",0.28885
"157",0.98953
"158",0.8822
"159",0.32877
"160",0.25396
"161",0.61053
"162",0.21008
"163",0.52422
"164",0.05192
"165",0.05995
"166",0.38754
"167",0.49266
"168",0.58643
"169",0.53512
"170",0.35987
"171",0.61561
"172",0.4352
"173",0.36218
"174",0.40911
"175",0.18448
"176",0.26178
"177",0.37596
"178",0.44847
"179",0.50215
"180",0.45566
"181",0.52969
"182",0.45589
"183",0.6219
"184",0.0689
"185",0.01841
"186",0.06097
"187",0.55982
"188",0.15562
"189",0.70897
"190",0.70791
"191",0.18662
"192",0.4925
"193",0.18847
"194",0.42781
"195",0.14722
"196",0.0962
"197",0.40967
"198",0.80295
"199",0.71983
"200",0.30529
"201",0.30636
"202",0.77775
"203",0.92192
"204",0.67438
"205",0.69663
"206",0.12982
"207",0.06973
"208",0.02701
"209",0.13408
"210",0.60709
"211",0.41731
"212",0.16612
"213",0.05333
"214",0.0424
"215",0.10768
"216",0.66726
"217",0.20451
"218",0.47279
"219",0.71702
"220",0.71084
"221",0.32179
"222",0.76542
"223",0.16737
"224",0.00267
"225",0.20417
"226",0.41314
"227",0.76084
"228",0.49042
"229",0.38652
"230",0.23685
"231",0.6635
"232",0.3408
"233",0.08733
"234",0.91212
"235",0.0992
"236",0.81468
"237",0.2371
"238",0.46024
"239",0.77264
"240",0.13406
"241",0.25619
"242",0.28327
"243",0.25637
"244",0.10707
"245",0.96452
"246",0.74884
"247",0.00181
"248",0.32658
"249",0.80683
"250",0.07382
"251",0.49323
"252",0.05959
"253",0.41951
"254",0.98039
"255",0.89616
"256",0.02551
"257",0.21738
"258",0.05395
"259",0.82068
"260",0.63353
"261",0.55269
"262",0.61254
"263",0.05237
"264",0.96023
"265",0.45187
"266",0.13816
"267",0.46827
"268",0.00139
"269",0.20088
"270",0.58546
"271",0.42452
"272",0.40738
"273",0.94776
"274",0.56634
"275",0.11511
"276",0.01727
"277",0.05778
"278",0.63084
"279",0.85654
"280",0.06484
"281",0.71923
"282",0.16581
"283",0.14961
"284",0.02903
"285",0.50424
"286",0.7235
"287",0.07275
"288",0.20575
"289",0.45289
"290",0.32984
"291",0.09491
"292",0.24881
"293",0.4101
"294",0.10728
"295",0.04352
"296",0.97659
"297",0.5378
"298",0.1818
"299",0.02457
"300",0.18222
"301",0.03523
"302",0.77298
"303",0.45522
"304",0.17166
"305",0.00153
"306",0.16124
"307",0.01574
"308",0.11458
"309",0.08998
"310",0.55704
"311",0.01901
"312",0.03913
"313",0.13276
"314",0.35732
"315",0.06912
"316",0.26695
"317",0.07898
"318",0.66867
"319",0.38983
"320",0.11925
"321",0.06615
"322",0.32492
"323",0.35945
"324",0.86119
"325",0.04701
"326",0.08334
"327",0.0776
"328",0.32011
"329",0.64032
"330",0.67384
"331",0.00786
"332",0.25032
"333",0.35418
"334",0.09834
"335",0.22279
"336",0.78916
"337",0.00388
"338",0.34689
"339",0.04027
"340",0.28274
"341",0.82655
"342",0.17793
"343",0.33534
"344",0.32232
"345",0.23677
"346",0.487
"347",0.85548
"348",0.06825
"349",0.46378
"350",0.84469
"351",0.34358
"352",0.59444
"353",0.48646
"354",0.16738
"355",0.46138
"356",0.60419
"357",0.70657
"358",0.59821
"359",0.79911
"360",0.01426
"361",0.47475
"362",0.45092
"363",0.59485
"364",0.72477
"365",0.11079
"366",0.47622
"367",0.39653
"368",0.53977
"369",0.01004
"370",0.10229
"371",0.36224
"372",0.05473
"373",0.10401
"374",0.03935
"375",0.14403
"376",0.08867
"377",0.33335
"378",0.05469
"379",0.34244
"380",0.20788
"381",0.90148
"382",0.10024
"383",0.16668
"384",0.91682
"385",0.36939
"386",0.46802
"387",0.35888
"388",0.53808
"389",0.58371
"390",0.53841
"391",0.40609
"392",0.05407
"393",0.1929
"394",0.05733
"395",0.50916
"396",0.4021
"397",0.06626
"398",0.04178
"399",0.58179
"400",0.8709
"401",0.20427
"402",0.34196
"403",0.47948
"404",0.31606
"405",0.37868
"406",0.67274
"407",0.4742
"408",0.18232
"409",0.68334
"410",0.10814
"411",0.0408
"412",0.77138
"413",0.1607
"414",0.31067
"415",0.53755
"416",0.27022
"417",0.77752
"418",0.19878
"419",0.01989
"420",0.83497
"421",0.17859
"422",0.46563
"423",0.51941
"424",0.04211
"425",0.07961
"426",0.47163
"427",0.13929
"428",0.88323
"429",0.94419
"430",0.75025
"431",0.14104
"432",0.66912
"433",0.2809
"434",0.92586
"435",0.66922
"436",0.07327
"437",0.55116
"438",0.66918
"439",0.58615
"440",0.38029
"441",0.04454
"442",0.04905
"443",0.50772
"444",0.82426
"445",0.81413
"446",0.11617
"447",0.41235
"448",0.81483
"449",0.16532
"450",0.61683
"451",0.52604
