"","V1"
"1",0.70718
"2",0.56243
"3",0.96361
"4",0.16533
"5",0.62967
"6",0.23083
"7",0.06762
"8",0.01879
"9",0.52439
"10",0.07103
"11",0.17352
"12",0.43013
"13",0.10432
"14",0.00293
"15",0.35213
"16",0.45888
"17",0.62633
"18",0.78776
"19",0.00656
"20",0.19402
"21",0.23863
"22",0.2985
"23",0.00497
"24",0.01576
"25",0.06684
"26",0.08616
"27",0.48093
"28",0.84522
"29",0.51371
"30",0.03085
"31",0.31838
"32",0.34331
"33",0.31443
"34",0.03564
"35",0.02018
"36",0.45936
"37",0.24312
"38",0.10011
"39",0.1797
"40",0.10146
"41",0.22478
"42",0.04712
"43",0.15473
"44",0.22204
"45",0.02117
"46",0.51803
"47",0.00753
"48",0.10966
"49",0.09079
"50",0.17686
"51",0.00795
"52",0.75498
"53",0.199
"54",0.08543
"55",0.03338
"56",0.73166
"57",0.22841
"58",0.00192
"59",0.28508
"60",0.03255
"61",0.08951
"62",0.80728
"63",0.04251
"64",0.04773
"65",0.00761
"66",0.06872
"67",0.06048
"68",0.01242
"69",0.01102
"70",0.78039
"71",0.17592
"72",0.59686
"73",0.60392
"74",0.35848
"75",0.08762
"76",0.15296
"77",0.07244
"78",0.76148
"79",0.07797
"80",0.64822
"81",0.10635
"82",0.66483
"83",0.03143
"84",0.01935
"85",0.35594
"86",0.25045
"87",0.24271
"88",0.08319
"89",0.03798
"90",0.00181
"91",0.09735
"92",0.534
"93",0.74358
"94",0.54438
"95",0.79919
"96",0.88316
"97",0.09493
"98",0.51608
"99",0.02021
"100",0.2131
"101",0.87604
"102",0.83285
"103",0.05513
"104",0.04924
"105",0.01066
"106",0.31797
"107",0.04164
"108",0.00701
"109",0.10849
"110",0.26579
"111",0.23383
"112",0.38878
"113",0.37016
"114",0.02057
"115",0.2079
"116",0.59639
"117",0.12918
"118",0.4534
"119",0.09367
"120",0.03416
"121",0.13549
"122",0.27427
"123",0.04548
"124",0.03757
"125",0.77692
"126",0.37801
"127",0.56923
"128",0.00735
"129",0.0432
"130",0.00897
"131",0.22059
"132",0.75204
"133",0.4453
"134",0.63132
"135",0.34198
"136",0.31489
"137",0.09126
"138",0.71331
"139",2e-05
"140",0.42543
"141",0.03576
"142",0.33931
"143",0.06884
"144",0.16334
"145",0.43992
"146",0.48928
"147",0.00038
"148",0.71685
"149",0.69065
"150",0.79985
"151",0.25567
"152",0.43546
"153",0.4218
"154",0.54364
"155",0.01779
"156",0.17607
"157",0.96891
"158",0.78348
"159",0.18374
"160",0.13676
"161",0.48697
"162",0.13391
"163",0.36647
"164",0.01626
"165",0.02474
"166",0.28712
"167",0.33759
"168",0.43385
"169",0.39051
"170",0.19717
"171",0.46346
"172",0.2856
"173",0.20207
"174",0.26699
"175",0.11462
"176",0.16299
"177",0.26933
"178",0.31017
"179",0.33891
"180",0.30394
"181",0.38925
"182",0.28866
"183",0.4425
"184",0.03423
"185",0.00778
"186",0.02363
"187",0.40536
"188",0.08214
"189",0.58162
"190",0.53775
"191",0.09693
"192",0.30535
"193",0.08707
"194",0.29791
"195",0.07747
"196",0.04718
"197",0.27587
"198",0.68264
"199",0.57269
"200",0.1674
"201",0.20717
"202",0.64985
"203",0.85059
"204",0.49526
"205",0.60342
"206",0.06698
"207",0.03242
"208",0.01122
"209",0.06504
"210",0.47322
"211",0.28507
"212",0.06996
"213",0.02105
"214",0.02086
"215",0.0528
"216",0.53724
"217",0.10205
"218",0.30362
"219",0.53776
"220",0.57157
"221",0.17569
"222",0.63409
"223",0.10571
"224",0.00065
"225",0.11646
"226",0.24369
"227",0.60429
"228",0.326
"229",0.26221
"230",0.13818
"231",0.48401
"232",0.18093
"233",0.04394
"234",0.81255
"235",0.04661
"236",0.68447
"237",0.14049
"238",0.32248
"239",0.67015
"240",0.0844
"241",0.15151
"242",0.15391
"243",0.14542
"244",0.04937
"245",0.91765
"246",0.62305
"247",0.00048
"248",0.18851
"249",0.69948
"250",0.03143
"251",0.36319
"252",0.02063
"253",0.28499
"254",0.9553
"255",0.79736
"256",0.00967
"257",0.12805
"258",0.02426
"259",0.69158
"260",0.45376
"261",0.40259
"262",0.45845
"263",0.0238
"264",0.90923
"265",0.30047
"266",0.07763
"267",0.31833
"268",3e-04
"269",0.10185
"270",0.41854
"271",0.29771
"272",0.25251
"273",0.90813
"274",0.38016
"275",0.04822
"276",0.00759
"277",0.02441
"278",0.48021
"279",0.76487
"280",0.03501
"281",0.59296
"282",0.0824
"283",0.08435
"284",0.01303
"285",0.36587
"286",0.58427
"287",0.03025
"288",0.1179
"289",0.29231
"290",0.18999
"291",0.04477
"292",0.15308
"293",0.27528
"294",0.04917
"295",0.0174
"296",0.91774
"297",0.38165
"298",0.10205
"299",0.00868
"300",0.09491
"301",0.01683
"302",0.63708
"303",0.3134
"304",0.08891
"305",0.00042
"306",0.07992
"307",0.00433
"308",0.06461
"309",0.03907
"310",0.44225
"311",0.00682
"312",0.0152
"313",0.06782
"314",0.18894
"315",0.02841
"316",0.15619
"317",0.0415
"318",0.48876
"319",0.24797
"320",0.05751
"321",0.0303
"322",0.22535
"323",0.2362
"324",0.76175
"325",0.0174
"326",0.04248
"327",0.03625
"328",0.17451
"329",0.53764
"330",0.52408
"331",0.00206
"332",0.15733
"333",0.23777
"334",0.04485
"335",0.11763
"336",0.63979
"337",0.00093
"338",0.23793
"339",0.01778
"340",0.17897
"341",0.71118
"342",0.09818
"343",0.20121
"344",0.21022
"345",0.16347
"346",0.33152
"347",0.71521
"348",0.02647
"349",0.31061
"350",0.74484
"351",0.18764
"352",0.42047
"353",0.30232
"354",0.08383
"355",0.30261
"356",0.45435
"357",0.57376
"358",0.43953
"359",0.659
"360",0.00595
"361",0.32041
"362",0.31688
"363",0.44245
"364",0.58404
"365",0.05097
"366",0.33153
"367",0.22704
"368",0.38509
"369",0.00394
"370",0.05536
"371",0.24405
"372",0.02775
"373",0.0448
"374",0.0163
"375",0.08393
"376",0.04309
"377",0.2071
"378",0.02625
"379",0.2018
"380",0.09891
"381",0.81999
"382",0.04302
"383",0.08718
"384",0.84329
"385",0.21885
"386",0.33995
"387",0.22068
"388",0.36715
"389",0.4563
"390",0.36684
"391",0.27662
"392",0.02754
"393",0.0939
"394",0.02431
"395",0.35893
"396",0.27036
"397",0.02838
"398",0.01337
"399",0.47545
"400",0.77541
"401",0.11731
"402",0.21961
"403",0.34069
"404",0.17788
"405",0.24605
"406",0.52361
"407",0.32473
"408",0.12078
"409",0.5261
"410",0.05066
"411",0.01643
"412",0.63287
"413",0.07774
"414",0.16487
"415",0.39525
"416",0.1514
"417",0.63333
"418",0.10884
"419",0.00821
"420",0.72346
"421",0.09165
"422",0.32871
"423",0.35008
"424",0.02225
"425",0.03878
"426",0.29276
"427",0.05941
"428",0.79277
"429",0.88332
"430",0.58622
"431",0.06876
"432",0.5274
"433",0.13675
"434",0.86328
"435",0.52414
"436",0.03172
"437",0.37381
"438",0.55403
"439",0.40253
"440",0.22855
"441",0.02337
"442",0.01823
"443",0.30273
"444",0.69497
"445",0.7047
"446",0.05548
"447",0.26709
"448",0.72623
"449",0.09141
"450",0.42028
"451",0.31822
"452",0.71651
"453",0.88784
"454",0.10464
"455",0.27139
"456",0.00107
"457",0.1287
"458",0.04361
"459",0.38299
"460",0.05305
"461",0.16833
"462",0.07577
"463",0.11132
"464",0.13616
"465",0.10279
"466",0.25431
"467",0.25329
"468",0.48779
"469",0.50934
"470",0.24437
"471",0.00963
"472",0.43875
"473",0.2214
"474",0.09927
"475",0.56913
"476",0.01552
"477",0.70907
"478",0.44629
"479",0.37738
"480",0.49398
"481",0.81046
"482",0.29592
"483",0.23836
"484",0.10553
"485",0.6288
"486",0.07594
"487",0.33757
"488",0.34718
"489",0.01497
"490",0.47862
"491",0.3864
"492",0.86291
"493",0.00963
"494",0.4904
"495",0.21603
"496",0.2469
"497",0.15941
"498",0.71218
"499",0.08443
"500",0.0497
"501",0.05959
"502",0.28527
"503",0.33306
"504",0.744
"505",0.32822
"506",0.13255
"507",0.2821
"508",0.0025
"509",0.12426
"510",0.63017
"511",0.00026
"512",0.88055
"513",0.02718
"514",0.12813
"515",0.20657
"516",0.58861
"517",0.69285
"518",0.12405
