"","V1"
"1",0.53178
"2",0.23166
"3",0.63719
"4",0.25856
"5",0.66485
"6",0.49215
"7",0.33436
"8",0.07331
"9",0.50913
"10",0.52943
"11",0.16351
"12",0.71797
"13",0.77207
"14",0.74524
"15",0.96317
"16",0.46523
"17",0.19825
"18",0.01618
"19",0.01444
"20",0.18627
"21",0.06876
"22",0.30186
"23",0.66115
"24",0.65373
"25",0.44902
"26",0.38503
"27",0.63429
"28",0.05348
"29",0.50737
"30",0.33486
"31",0.75069
"32",0.86017
"33",0.11073
"34",0.43664
"35",0.5308
"36",0.96271
"37",0.60144
"38",0.58689
"39",0.52861
"40",0.03006
"41",0.16235
"42",0.27995
"43",0.52658
"44",0.56417
"45",0.61212
"46",0.36408
"47",0.80119
"48",0.60901
"49",0.76122
"50",0.7848
"51",0.612
"52",0.0329
"53",0.24013
"54",0.92597
"55",0.34334
"56",0.03236
"57",0.04944
"58",0.62313
"59",0.86604
"60",0.10534
"61",0.8935
"62",0.17941
"63",0.31345
"64",0.92449
"65",0.7173
"66",0.8098
"67",0.47817
"68",0.49942
"69",0.71221
"70",0.67442
"71",0.00857
"72",0.67199
"73",0.17184
"74",0.47173
"75",0.09793
"76",0.44423
"77",0.07294
"78",0.23128
"79",0.18839
"80",0.79781
"81",0.78998
"82",0.69223
"83",0.18552
"84",0.33917
"85",0.01033
"86",0.62777
"87",0.91848
"88",0.27291
"89",0.48696
"90",0.08622
"91",0.19919
"92",0.22086
"93",0.38462
"94",0.30386
"95",0.80093
"96",0.16132
"97",0.52242
"98",0.73166
"99",0.06159
"100",0.14321
"101",0.0635
"102",0.27182
"103",0.13221
"104",0.28176
"105",0.60659
"106",0.873
"107",0.13942
"108",0.48723
"109",0.69891
"110",0.32705
"111",0.79243
"112",0.27977
"113",0.14012
"114",0.81859
"115",0.12542
"116",0.08775
"117",0.21
"118",0.07491
"119",0.00787
"120",0.12025
"121",0.91694
"122",0.41323
"123",0.35316
"124",0.65167
"125",0.11588
"126",0.11954
"127",0.44582
"128",0.38886
"129",0.98889
"130",0.4588
"131",0.55881
"132",0.26059
"133",0.90389
"134",0.30801
"135",0.44843
"136",0.67386
"137",0.71242
"138",0.71847
"139",0.33429
"140",0.27848
"141",0.03749
"142",0.06372
"143",0.56728
"144",0.72112
"145",0.42917
"146",0.2664
"147",0.7263
"148",0.47539
"149",0.84239
"150",0.84757
"151",0.53656
"152",0.5269
"153",0.62165
"154",0.10742
"155",0.65489
"156",0.21227
"157",0.73943
"158",0.68104
"159",0.65469
"160",0.48355
"161",0.53908
"162",0.42709
"163",0.28317
"164",0.14903
"165",0.05921
"166",0.08795
"167",0.89688
"168",0.77587
"169",0.25331
"170",0.2406
"171",0.36907
"172",0.96093
"173",0.45284
"174",0.66313
"175",0.38704
"176",0.92886
"177",0.57109
"178",0.69742
"179",0.19237
"180",0.82597
"181",0.61572
"182",0.82013
"183",0.30373
"184",0.40117
"185",0.13813
"186",0.54708
"187",0.87465
"188",0.07637
"189",0.68887
"190",0.33035
"191",0.78131
"192",0.74885
"193",0.12098
"194",0.00997
"195",0.25041
"196",0.83344
"197",0.41926
"198",0.74317
"199",0.95482
"200",0.41369
"201",0.87297
"202",0.40912
"203",0.01844
"204",0.31382
"205",0.36406
"206",0.44464
"207",0.59368
"208",0.61881
"209",0.16388
"210",0.779
"211",0.15804
"212",0.77017
"213",0.68364
"214",0.16437
"215",0.3982
"216",0.23149
"217",0.39386
"218",0.31173
"219",0.03777
"220",0.69456
"221",0.03139
"222",0.39854
"223",0.47595
"224",0.50393
"225",0.76929
"226",0.54489
"227",0.68976
"228",0.22532
"229",0.81581
"230",0.80596
"231",0.25316
"232",0.25493
"233",0.1922
"234",0.41364
"235",0.8819
"236",0.79092
"237",0.70269
"238",0.83091
"239",0.8335
"240",0.05668
"241",0.10649
"242",0.02802
"243",0.30802
"244",0.88164
"245",0.1791
"246",0.10114
"247",0.72425
"248",0.40157
"249",0.08739
"250",0.6667
"251",0.26065
"252",0.64559
"253",0.7012
"254",0.3706
"255",0.27412
"256",0.57084
"257",0.84147
"258",0.69375
"259",0.15275
"260",0.7181
"261",0.13119
"262",0.00399
"263",0.434
"264",0.08954
"265",0.54032
"266",0.15927
