"","V1"
"1",0.04057
"2",0.0076
"3",0.08423
"4",0.00126
"5",0.04873
"6",0.03986
"7",0.00165
"8",0.00011
"9",0.03467
"10",0.03374
"11",0.00161
"12",0.08214
"13",0.07062
"14",0.06047
"15",0.19503
"16",0.01147
"17",0.00208
"18",3e-05
"19",1e-05
"20",0.00188
"21",4e-05
"22",0.00124
"23",0.04131
"24",0.02674
"25",0.01139
"26",0.00692
"27",0.01696
"28",1e-05
"29",0.01389
"30",0.00258
"31",0.0662
"32",0.14386
"33",0.00056
"34",0.00908
"35",0.05981
"36",0.17749
"37",0.01889
"38",0.01378
"39",0.04265
"40",3e-05
"41",0.00334
"42",0.01416
"43",0.01425
"44",0.02283
"45",0.03112
"46",0.01516
"47",0.18834
"48",0.01219
"49",0.0258
"50",0.04802
"51",0.05231
"52",0.00011
"53",0.00214
"54",0.22868
"55",0.00751
"56",0.00013
"57",0.00059
"58",0.0145
"59",0.06215
"60",6e-04
"61",0.23525
"62",0.00413
"63",0.00875
"64",0.14495
"65",0.02797
"66",0.19216
"67",0.02221
"68",0.01115
"69",0.00737
"70",0.01493
"71",3e-05
"72",0.03564
"73",0.00089
"74",0.00997
"75",0.00305
"76",0.00874
"77",0.00027
"78",0.00147
"79",0.00182
"80",0.17675
"81",0.06883
"82",0.05369
"83",0.00293
"84",0.00397
"85",1e-05
"86",0.02337
"87",0.30792
"88",0.00122
"89",0.02227
"90",0.00098
"91",0.00176
"92",0.00631
"93",0.00212
"94",0.00988
"95",0.14374
"96",0.00217
"97",0.02138
"98",0.09311
"99",0.00013
"100",0.00179
"101",0.00099
"102",0.00204
"103",9e-04
"104",0.00726
"105",0.05442
"106",0.18509
"107",0.0033
"108",0.01582
"109",0.07595
"110",0.0171
"111",0.04508
"112",0.00354
"113",0.00029
"114",0.03916
"115",0.00145
"116",0.0013
"117",0.00183
"118",6e-04
"119",2e-05
"120",0.00072
"121",0.22027
"122",0.02128
"123",0.01741
"124",0.0641
"125",0.00059
"126",0.0014
"127",0.04629
"128",0.02029
"129",0.322
"130",0.02416
"131",0.06984
"132",0.00231
"133",0.22509
"134",0.00402
"135",0.03563
"136",0.03555
"137",0.02814
"138",0.09108
"139",0.01523
"140",0.01147
"141",0.00043
"142",0.00064
"143",0.01825
"144",0.09067
"145",0.00322
"146",0.00031
"147",0.0217
"148",0.02698
"149",0.21283
"150",0.17283
"151",0.02532
"152",0.01146
"153",0.01215
"154",1e-04
"155",0.04526
"156",0.00386
"157",0.12522
"158",0.04028
"159",0.01407
"160",0.00351
"161",0.04651
"162",0.00686
"163",0.00573
"164",0.00073
"165",0.00016
"166",0.00019
"167",0.1713
"168",0.14304
"169",0.00648
"170",0.00282
"171",0.00689
"172",0.34079
"173",0.00507
"174",0.08142
"175",0.01754
"176",0.11975
"177",0.01789
"178",0.04911
"179",0.00222
"180",0.16613
"181",0.01486
"182",0.09544
"183",0.00704
"184",0.01651
"185",0.00102
"186",0.01955
"187",0.19501
"188",0.00076
"189",0.03574
"190",0.00964
"191",0.05364
"192",0.05254
"193",0.00076
"194",1e-05
"195",0.00221
"196",0.11979
"197",0.0126
"198",0.07558
"199",0.25977
"200",0.00624
"201",0.07386
"202",0.0198
"203",0.00014
"204",0.00111
"205",0.02099
"206",0.00218
"207",0.02757
"208",0.02867
"209",0.00083
"210",0.02439
"211",0.00117
"212",0.13806
"213",0.09065
