"","V1"
"1",0.06077
"2",0.01011
"3",0.00046
"4",0.00748
"5",0.00773
"6",0.02307
"7",0.00583
"8",0.07943
"9",0.00069
"10",0.21459
"11",0.03311
"12",0.00222
"13",0.00221
"14",0.19442
"15",0.01526
"16",0.04108
"17",0.02971
"18",0.53853
"19",0.12845
"20",0.03374
"21",0.03095
"22",0.01139
"23",0.06658
"24",0.02118
"25",0.19823
"26",0.0744
"27",0.01794
"28",0.0157
"29",0.01318
"30",0.24124
"31",0.00099
"32",0.00096
"33",5e-05
"34",0.15916
"35",0.01007
"36",0.00219
"37",0.14076
"38",0.00039
"39",0.00829
"40",0.00033
"41",0.27292
"42",0.00017
"43",0.02366
"44",0.02468
"45",0.00329
"46",0.00739
"47",0.12365
"48",0.1474
"49",0.00854
"50",0.02116
"51",0.00257
"52",0.15611
"53",0.08209
"54",5e-04
"55",0.0076
"56",0.01385
"57",0.05241
"58",0.12749
"59",0.23663
"60",0.00778
"61",0.02466
"62",0
"63",5e-05
"64",0.00711
"65",0.02158
"66",0.02655
"67",0.11051
"68",0.16703
"69",0.00405
"70",0.00192
"71",0.00042
"72",0.02508
"73",0.63632
"74",0.03873
"75",0.01524
"76",0.01011
"77",0.00653
"78",0.01381
"79",0.02985
"80",0.04035
"81",0.00345
"82",0.13116
"83",0.05993
"84",0.00383
"85",0.02023
"86",0.0109
"87",0.00199
"88",0.00972
"89",0.18718
"90",0.07957
"91",0.42793
"92",0.00093
"93",0.19992
"94",0.14899
"95",0.10153
"96",0.00905
"97",0.13432
"98",0.04578
"99",0.00048
"100",0.00231
"101",1e-05
"102",0.29488
"103",0.14901
"104",0.06343
"105",0.00777
"106",0.24527
"107",0.47796
"108",0.38504
"109",0.1329
"110",0.84079
"111",0.01475
"112",1e-05
"113",0.06195
"114",0.00286
"115",0.03275
"116",6e-04
"117",2e-05
"118",0.0371
"119",0.00277
"120",0.00779
"121",0.17145
"122",0.00374
"123",0.0116
"124",0.01618
"125",0.00126
"126",0.0036
"127",0.00397
"128",0.10457
"129",0
"130",0.34313
"131",0.06286
"132",0.04136
"133",0.02784
"134",0.09232
"135",0.06826
"136",0.19877
"137",0.13759
"138",0.27553
"139",0.00347
"140",0.60457
"141",0.09464
"142",0.00222
"143",0.00194
"144",0.01253
"145",0.21896
"146",0.00275
"147",0.04046
"148",0.00128
"149",0.00356
"150",0.00243
"151",0.01141
"152",0.01075
"153",0.03446
"154",0.009
"155",0.4648
"156",0.66298
"157",0.00583
"158",0.0013
"159",0.05739
"160",0.17597
"161",0.03571
"162",0.05937
"163",0.02026
"164",0.22665
"165",0.10912
"166",0.00074
"167",0.00574
"168",0.01252
"169",2e-05
"170",0.00011
"171",0.00288
"172",0.10071
"173",0.04271
"174",0.01945
"175",0.00756
"176",0.00023
"177",0.01038
"178",0.00031
"179",0.5508
"180",0.65732
"181",0.0667
"182",0.02223
"183",0.15688
"184",0.00207
"185",0.00097
"186",0.36723
"187",0.00217
"188",0.07784
"189",0.006
"190",0.00652
"191",0.08775
"192",0.01173
"193",0.01772
"194",0.00325
"195",0.03552
"196",0.10408
"197",0.05614
"198",0.00447
"199",0.05167
"200",0.01463
"201",0.00724
"202",0.00131
"203",0.19697
"204",0.05789
"205",0.06062
"206",0.0039
"207",0.08747
"208",0.05649
"209",0.00386
"210",0.00213
"211",0.01548
"212",0.03908
"213",0.00597
"214",0.00123
"215",0.0096
"216",0.01106
"217",0.01135
"218",0.00119
"219",0.21066
"220",0.00062
"221",0.07852
"222",0.00172
"223",0.32557
"224",0.01404
"225",0.00757
"226",0.15761
"227",0.04837
"228",0.02554
"229",0.00316
"230",0.14043
"231",0.66405
"232",0.01004
"233",0.00688
"234",0.04662
"235",0.02484
"236",0.01753
"237",0.05421
"238",0.02164
"239",0.00254
"240",0.00129
"241",0.03823
"242",0.11351
"243",0.00407
"244",0.01509
"245",0.11
"246",0.00073
"247",0.29535
"248",0.00014
"249",0.01041
