"","V1"
"1",0.15558
"2",0.34809
"3",0.34393
"4",0.06764
"5",0.52304
"6",0.13716
"7",0.68838
"8",0.04943
"9",0.33233
"10",0.0757
"11",0.03058
"12",0.60348
"13",0.79928
"14",0.08064
"15",0.23078
"16",0.21405
"17",0.16692
"18",0.05939
"19",0.08211
"20",0.3451
"21",0.0815
"22",0.07211
"23",0.0959
"24",0.25194
"25",0.05637
"26",0.03591
"27",0.60619
"28",0.12901
"29",0.11425
"30",0.00322
"31",0.1726
"32",0.10969
"33",0.87546
"34",0.0051
"35",0.15115
"36",0.142
"37",0.12749
"38",0.63851
"39",0.45586
"40",0.90193
"41",0.00358
"42",0.74923
"43",0.20921
"44",0.05627
"45",0.66899
"46",0.11095
"47",0.03702
"48",0.03916
"49",0.29447
"50",0.24935
"51",0.59922
"52",0.01191
"53",0.04278
"54",0.43812
"55",0.36494
"56",0.30645
"57",0.2699
"58",0.05597
"59",3e-04
"60",0.5933
"61",0.10242
"62",0.9166
"63",0.75093
"64",0.0978
"65",0.12638
"66",0.49467
"67",0.14438
"68",0.00186
"69",0.50013
"70",0.86089
"71",0.42412
"72",0.18352
"73",0.00021
"74",0.15859
"75",0.60797
"76",0.1889
"77",0.1436
"78",0.16583
"79",0.16062
"80",0.17316
"81",0.42969
"82",0.06512
"83",0.10845
"84",0.29698
"85",0.29145
"86",0.1314
"87",0.31284
"88",0.29576
"89",0.00132
"90",0.04191
"91",0.02581
"92",0.09975
"93",0.02715
"94",0.03912
"95",0.22405
"96",0.49186
"97",0.01662
"98",0.5949
"99",0.87787
"100",0.51945
"101",0.96484
"102",0.03503
"103",0.03896
"104",0.10795
"105",0.49809
"106",0.00399
"107",0.03877
"108",0.00198
"109",0.07532
"110",3e-05
"111",0.44337
"112",0.81851
"113",0.24219
"114",0.25146
"115",0.35695
"116",0.9324
"117",0.92132
"118",0.53499
"119",0.60723
"120",0.19464
"121",0.04285
"122",0.47279
"123",0.39592
"124",0.04027
"125",0.64309
"126",0.84416
"127",0.52686
"128",0.09185
"129",0.91332
"130",0.00842
"131",0.09101
"132",0.28764
"133",0.02178
"134",0.35896
"135",0.07704
"136",0.0457
"137",0.13542
"138",0.05642
"139",0.58755
"140",0.04225
"141",0.08353
"142",0.30302
"143",0.4762
"144",0.22441
"145",0.01459
"146",0.67086
"147",0.09085
"148",0.14379
"149",0.71896
"150",0.39389
"151",0.18132
"152",0.59189
"153",0.19394
"154",0.13839
"155",9e-05
"156",0.00411
"157",0.04979
"158",0.49235
"159",0.05866
"160",0.01973
"161",0.38713
"162",0.20287
"163",0.33721
"164",0.00075
"165",0.18024
"166",0.44962
"167",0.66651
"168",0.35654
"169",0.31847
"170",0.87873
"171",0.10094
"172",0.28644
"173",0.13127
"174",0.38599
"175",0.10039
"176",0.75223
"177",0.19176
"178",0.53542
"179",0.00087
"180",0.00667
"181",0.2467
"182",0.55797
"183",0.05158
"184",0.12021
"185",0.37104
"186",0.00049
"187",0.62985
"188",0.09011
"189",0.05006
"190",0.41954
"191",0.01945
"192",0.25122
"193",0.33504
"194",0.14769
"195",0.61788
"196",0.018
"197",0.2143
"198",0.05641
"199",0.1676
"200",0.46347
"201",0.03612
"202",0.32728
"203",0.10687
"204",0.20358
"205",0.00369
"206",0.08477
"207",0.04383
"208",0.06651
"209",0.28258
"210",0.82495
"211",0.31255
"212",0.20904
"213",0.67898
"214",0.63061
"215",0.14118
"216",0.71825
"217",0.3665
"218",0.32423
"219",0.08682
"220",0.68841
"221",0.00628
"222",0.84963
"223",0.02581
"224",0.47464
"225",0.42746
"226",0.01868
"227",0.15516
"228",0.46813
"229",0.05715
"230",0.63283
"231",0.00263
"232",0.00195
"233",0.11233
"234",0.52924
"235",0.03477
"236",0.48792
"237",0.01314
"238",0.21696
"239",0.65722
"240",0.72599
"241",0.11626
"242",0.04782
"243",0.09072
"244",0.31812
"245",0.08137
"246",0.51805
"247",0.00625
"248",0.7343
"249",0.24861
"250",0.1563
"251",0.14578
"252",0.14822
"253",0.7808
"254",0.23691
"255",0.22496
"256",0.10793
"257",0.30443
"258",0.02414
"259",0.9153
"260",0.04299
"261",0.80991
"262",0.17107
"263",0.82062
"264",0.16614
"265",0.17103
"266",0.12228
"267",0.71635
"268",0.04326
"269",0.06128
"270",0.08902
"271",0.57547
"272",0.00126
"273",0.78761
"274",0.32556
"275",0.68688
"276",0.28967
"277",0.11514
"278",0.02544
"279",0.07617
"280",0.41018
"281",0.98109
"282",0.19524
"283",0.00964
"284",0.18772
"285",0.78685
"286",0.50152
"287",0.79009
"288",0.08521
"289",0.00121
"290",0.59233
"291",0.44111
"292",0.09047
"293",0.0406
"294",0.15964
"295",0.64044
"296",0.03217
"297",0.0068
"298",0.16964
"299",0.06898
"300",0.22139
"301",0.59795
"302",0.22141
