"","V1"
"1",0.61497
"2",0.29688
"3",0.70682
"4",0.36323
"5",0.74549
"6",0.56984
"7",0.44738
"8",0.11522
"9",0.59233
"10",0.61275
"11",0.22773
"12",0.78672
"13",0.83981
"14",0.81549
"15",0.97963
"16",0.56687
"17",0.27127
"18",0.0295
"19",0.02678
"20",0.25832
"21",0.11589
"22",0.42242
"23",0.74823
"24",0.74409
"25",0.55044
"26",0.48088
"27",0.73243
"28",0.09925
"29",0.60997
"30",0.43983
"31",0.8154
"32",0.90607
"33",0.16306
"34",0.53182
"35",0.60318
"36",0.9806
"37",0.70956
"38",0.68682
"39",0.60886
"40",0.05372
"41",0.21798
"42",0.34892
"43",0.6221
"44",0.66185
"45",0.70391
"46",0.44356
"47",0.85093
"48",0.71784
"49",0.84385
"50",0.85562
"51",0.69236
"52",0.05441
"53",0.3258
"54",0.95307
"55",0.43293
"56",0.05297
"57",0.07244
"58",0.72395
"59",0.91937
"60",0.15435
"61",0.92942
"62",0.23765
"63",0.39661
"64",0.95489
"65",0.80892
"66",0.85676
"67",0.56922
"68",0.60394
"69",0.82129
"70",0.77503
"71",0.01482
"72",0.75751
"73",0.24894
"74",0.57941
"75",0.13307
"76",0.54642
"77",0.11248
"78",0.32052
"79",0.26175
"80",0.84779
"81",0.85382
"82",0.76819
"83",0.25369
"84",0.44736
"85",0.02305
"86",0.7241
"87",0.94456
"88",0.37604
"89",0.57646
"90",0.12417
"91",0.27743
"92",0.28316
"93",0.50032
"94",0.38357
"95",0.85475
"96",0.22106
"97",0.61252
"98",0.79791
"99",0.10069
"100",0.2017
"101",0.09041
"102",0.36449
"103",0.19368
"104",0.36126
"105",0.68809
"106",0.91383
"107",0.18811
"108",0.58691
"109",0.77173
"110",0.39975
"111",0.86183
"112",0.36737
"113",0.21096
"114",0.88626
"115",0.17737
"116",0.12559
"117",0.28944
"118",0.10939
"119",0.01445
"120",0.17682
"121",0.94751
"122",0.49548
"123",0.43101
"124",0.72623
"125",0.17331
"126",0.16963
"127",0.51738
"128",0.46907
"129",0.99475
"130",0.54285
"131",0.6284
"132",0.3497
"133",0.93667
"134",0.40229
"135",0.5274
"136",0.76624
"137",0.79865
"138",0.78291
"139",0.41336
"140",0.3486
"141",0.05882
"142",0.09492
"143",0.66343
"144",0.7882
"145",0.53976
"146",0.38457
"147",0.81745
"148",0.55901
"149",0.88317
"150",0.89401
"151",0.62659
"152",0.63495
"153",0.72416
"154",0.17064
"155",0.74019
"156",0.27695
"157",0.80018
"158",0.76754
"159",0.75301
"160",0.60596
"161",0.61893
"162",0.53557
"163",0.36616
"164",0.21756
"165",0.09311
"166",0.14114
"167",0.93351
"168",0.83231
"169",0.32914
"170",0.3263
"171",0.46691
"172",0.9773
"173",0.56974
"174",0.7349
"175",0.47068
"176",0.95942
"177",0.67223
"178",0.77688
"179",0.25951
"180",0.87317
"181",0.71908
"182",0.87838
"183",0.38965
"184",0.48167
"185",0.19962
"186",0.64326
"187",0.91535
"188",0.1145
"189",0.77233
"190",0.41446
"191",0.85124
"192",0.81811
"193",0.18241
"194",0.01794
"195",0.34147
"196",0.88766
"197",0.51143
"198",0.81008
"199",0.97338
"200",0.51976
"201",0.9223
"202",0.49153
"203",0.02996
"204",0.43115
"205",0.44216
"206",0.56479
"207",0.68936
"208",0.70773
"209",0.23776
"210",0.85688
"211",0.22892
"212",0.82523
"213",0.75002
"214",0.23656
"215",0.4842
"216",0.30244
"217",0.4768
"218",0.40624
"219",0.05887
"220",0.77078
"221",0.0515
"222",0.50059
"223",0.5742
"224",0.60054
"225",0.84841
"226",0.63663
"227",0.76337
"228",0.29161
"229",0.86537
"230",0.86737
"231",0.32506
"232",0.33453
"233",0.26549
"234",0.50603
"235",0.92285
"236",0.85075
"237",0.77647
"238",0.89666
"239",0.88634
"240",0.09049
"241",0.17547
"242",0.04414
"243",0.39637
"244",0.92765
"245",0.23625
"246",0.15428
"247",0.79797
"248",0.50924
"249",0.13211
"250",0.747
"251",0.31373
"252",0.72611
"253",0.77959
"254",0.44566
"255",0.3392
"256",0.65041
"257",0.88581
"258",0.77051
"259",0.21611
"260",0.78966
"261",0.1707
"262",0.0093
"263",0.51357
"264",0.13107
"265",0.60954
"266",0.22694
"267",0.6978
"268",0.96109
"269",0.46321
"270",0.00546
"271",0.01193
"272",0.81162
"273",0.69553
"274",0.49877
"275",0.40636
"276",0.30073
"277",0.41021
"278",0.57516
"279",0.04527
"280",0.33336
"281",0.90132
"282",0.9745
"283",0.73946
"284",0.92339
"285",0.17256
"286",0.96927
"287",0.76385
"288",0.27086
"289",0.55729
"290",0.84161
"291",0.49045
"292",0.8592
"293",0.91862
"294",0.49826
"295",0.02631
"296",0.40178
"297",0.40916
"298",0.79819
"299",0.42193
"300",0.64309
"301",0.38256
"302",0.23142
"303",0.6826
"304",0.43278
"305",0.8849
"306",0.09872
"307",0.84101
"308",0.76323
"309",0.83023
"310",0.37536
"311",0.23467
"312",0.56371
"313",0.7705
"314",0.28866
"315",0.75808
"316",0.85904
"317",0.11646
"318",0.66717
"319",0.19228
"320",0.87016
"321",0.03852
"322",0.9724
"323",0.17653
"324",0.30456
"325",0.43472
"326",0.39447
"327",0.60237
"328",0.67039
"329",0.14807
"330",0.79804
"331",0.80132
"332",0.4711
"333",0.15319
"334",0.22935
"335",0.64232
"336",0.9492
"337",0.58305
"338",0.99172
"339",0.0371
"340",0.28673
"341",0.52241
"342",0.14378
"343",0.12125
"344",0.18175
"345",0.48136
"346",0.51172
"347",0.91581
"348",0.93824
"349",0.28405
"350",0.32774
"351",0.9887
"352",0.16624
"353",0.83963
"354",0.42064
"355",0.98857
"356",0.98763
"357",0.87257
"358",0.33246
"359",0.44972
"360",0.97637
"361",0.86555
"362",0.57308
"363",0.24666
"364",0.92407
"365",0.5654
"366",0.85342
"367",0.12334
"368",0.82347
"369",0.27669
"370",0.79991
"371",0.02874
"372",0.34154
"373",0.29981
"374",0.35299
"375",0.55031
"376",0.49566
"377",0.62348
"378",0.68553
"379",0.11995
"380",0.96594
"381",0.33771
"382",0.00435
"383",0.39738
"384",0.34371
"385",0.76956
"386",0.06347
"387",0.24625
"388",0.97984
"389",0.77327
"390",0.93538
"391",0.26161
"392",0.2507
"393",0.45506
"394",0.48158
"395",0.12122
"396",0.34291
"397",0.72599
"398",0.7068
"399",0.15465
"400",0.53164
"401",0.09507
"402",0.01018
"403",0.46231
"404",0.81002
"405",0.14894
"406",0.98305
"407",0.72519
"408",0.58998
"409",0.27137
"410",0.29858
"411",0.59797
"412",0.53871
"413",0.35342
"414",0.69572
"415",0.5576
"416",0.77403
"417",0.74282
"418",0.29303
"419",0.09839
"420",0.74289
"421",0.30336
"422",0.15262
"423",0.32153
"424",0.68262
"425",0.73879
"426",0.30051
"427",0.00984
"428",0.5978
"429",0.13432
"430",0.29329
"431",0.33955
"432",0.54487
"433",0.99358
"434",0.70449
"435",0.36906
"436",0.65989
"437",0.45671
"438",0.10687
"439",0.25398
"440",0.70752
"441",0.93638
"442",0.1279
"443",0.98005
"444",0.27321
"445",0.09425
"446",0.19652
"447",0.84623
"448",0.88803
"449",0.70603
"450",0.43608
"451",0.09884
"452",0.50309
"453",0.09969
"454",0.67946
"455",0.92356
"456",0.21321
"457",0.04374
"458",0.04584
"459",0.46011
"460",0.28067
"461",0.59918
"462",0.43186
"463",0.93259
"464",0.00138
"465",0.00907
"466",0.50555
"467",0.89055
"468",0.97182
"469",0.77439
"470",0.34977
"471",0.21239
"472",0.13123
"473",0.1068
"474",0.18292
"475",0.61035
"476",0.52006
"477",0.16809
"478",0.08537
"479",0.95972
"480",0.6839
"481",0.29817
"482",0.49721
"483",0.64688
"484",0.18037
"485",0.49565
"486",0.37044
"487",0.67529
"488",0.03515
"489",0.43939
"490",0.50711
"491",0.82981
"492",0.52703
"493",0.83802
"494",0.16002
"495",0.18501
"496",0.0109
"497",0.80173
"498",0.85903
"499",0.19362
"500",0.2725
"501",0.62173
"502",0.85809
"503",0.61187
"504",0.62653
"505",0.46992
"506",0.86912
"507",0.06685
"508",0.27454
"509",0.84537
"510",0.60479
"511",0.00097
"512",0.47461
"513",0.75782
"514",0.50371
"515",0.62544
"516",0.75178
"517",0.04026
"518",0.54775
"519",0.90444
"520",0.00952
"521",0.29153
"522",0.664
"523",0.82546
"524",0.03319
"525",0.74451
"526",0.97148
"527",0.31308
"528",0.39103
"529",0.07903
"530",0.9228
"531",0.09254
"532",0.11166
"533",0.68663
"534",0.1648
"535",0.95665
"536",0.08097
"537",0.47294
"538",0.78126
"539",0.65634
"540",0.85389
"541",0.21932
"542",0.35867
"543",0.21502
"544",0.64357
"545",0.14842
"546",0.25246
"547",0.21081
"548",0.35722
"549",0.78571
"550",0.11507
"551",0.01137
"552",0.65915
"553",0.42106
"554",0.81736
"555",0.36252
"556",0.9697
"557",0.65542
"558",0.13799
"559",0.11592
"560",0.8542
"561",0.64892
"562",0.68412
"563",0.2983
"564",0.15821
"565",0.61779
"566",0.61615
"567",0.88551
"568",0.79931
"569",0.12895
"570",0.81334
"571",0.63703
"572",0.16299
"573",0.65495
"574",0.63382
"575",0.68729
"576",0.49972
"577",0.2146
"578",0.70275
"579",0.15928
"580",0.44369
"581",0.22056
"582",0.29622
"583",0.91849
"584",0.70305
"585",0.13862
"586",0.15045
"587",0.99505
"588",0.70821
"589",0.15883
"590",0.11867
"591",0.98755
"592",0.76736
"593",0.49803
"594",0.98346
"595",0.18294
"596",0.09115
"597",0.26672
"598",0.07652
"599",0.31406
"600",0.69055
"601",0.08893
"602",0.72331
"603",0.26175
"604",0.79593
"605",0.29455
"606",0.24768
"607",0.19103
"608",0.09328
"609",0.94029
"610",0.80127
"611",0.34425
"612",0.46197
"613",0.85672
"614",0.05352
"615",0.20336
"616",0.30314
"617",0.95774
"618",0.51655
"619",0.83094
"620",0.26861
"621",0.34239
"622",0.22115
"623",0.11349
"624",0.25021
"625",0.64766
"626",0.95424
"627",0.9823
"628",0.19333
"629",0.67674
"630",0.2342
"631",0.56746
"632",0.5888
"633",0.00935
"634",0.10632
"635",0.80626
"636",0.81929
"637",0.58425
"638",0.914
"639",0.54842
"640",0.28564
"641",0.94505
"642",0.5225
"643",0.84634
"644",0.23601
"645",0.67482
"646",0.39519
"647",0.79662
"648",0.53845
"649",0.24754
"650",0.6946
"651",0.7476
"652",0.41326
"653",0.48013
"654",0.59641
"655",0.00528
"656",0.16887
"657",0.54586
"658",0.40679
"659",0.88916
"660",0.69177
"661",0.76877
"662",0.75032
"663",0.74268
"664",0.52502
"665",0.36506
"666",0.38402
"667",0.162
"668",0.06277
"669",0.84651
"670",0.53875
"671",0.40796
"672",0.28966
"673",0.65708
"674",0.27216
"675",0.60945
"676",0.47902
"677",0.79083
"678",0.65457
"679",0.32833
"680",0.16923
"681",0.65356
"682",0.04613
"683",0.65218
"684",0.84047
"685",0.26024
"686",0.86995
"687",0.92907
"688",0.63488
"689",0.48165
"690",0.56476
"691",0.13938
"692",0.79176
"693",0.44236
"694",0.97619
"695",0.69577
"696",0.03696
"697",0.26059
"698",0.64295
"699",0.71955
"700",0.92468
"701",0.38272
"702",0.03567
"703",0.20307
"704",0.97675
"705",0.73047
"706",0.52768
"707",0.91054
"708",0.07165
"709",0.52602
"710",0.44407
"711",0.82285
"712",0.10289
"713",0.55915
"714",0.56825
"715",0.27567
"716",0.34702
"717",0.26012
"718",0.83701
"719",0.42472
"720",0.79351
"721",0.09089
"722",0.58755
"723",0.21969
"724",0.88617
"725",0.71238
"726",0.75375
"727",0.88411
"728",0.03898
"729",0.27215
"730",0.04329
"731",0.01426
"732",0.4716
"733",0.01366
"734",0.4961
"735",0.65358
"736",0.05025
"737",0.27996
"738",0.81354
"739",0.10512
"740",0.95695
"741",0.54096
"742",0.96622
"743",0.63197
"744",0.58282
"745",0.86443
"746",0.29191
"747",0.37605
"748",0.00046
"749",0.55754
"750",0.87794
"751",0.14241
"752",0.80716
"753",0.17852
"754",0.52991
"755",0.50445
"756",0.65259
"757",0.05886
"758",0.43587
"759",0.46931
"760",0.85637
"761",0.12861
"762",0.38367
"763",0.26941
"764",0.94594
"765",0.60574
"766",0.19786
"767",0.24412
"768",0.75619
"769",0.48525
"770",0.03819
"771",0.49984
"772",0.01845
"773",0.36719
