"","V1"
"1",0.88503
"2",0.83402
"3",0.99358
"4",0.42534
"5",0.89275
"6",0.54353
"7",0.21825
"8",0.09869
"9",0.77718
"10",0.2261
"11",0.43001
"12",0.83354
"13",0.33857
"14",0.02244
"15",0.62465
"16",0.76325
"17",0.86492
"18",0.94582
"19",0.0691
"20",0.45903
"21",0.63726
"22",0.57581
"23",0.02912
"24",0.08651
"25",0.19131
"26",0.25331
"27",0.69331
"28",0.96453
"29",0.7936
"30",0.09039
"31",0.57244
"32",0.66478
"33",0.60655
"34",0.12878
"35",0.08774
"36",0.76143
"37",0.54612
"38",0.33715
"39",0.45147
"40",0.25558
"41",0.5472
"42",0.24863
"43",0.43834
"44",0.51875
"45",0.09376
"46",0.8217
"47",0.0548
"48",0.38851
"49",0.24955
"50",0.493
"51",0.07716
"52",0.93262
"53",0.48456
"54",0.27765
"55",0.12962
"56",0.90649
"57",0.49649
"58",0.02364
"59",0.61526
"60",0.15391
"61",0.29201
"62",0.95781
"63",0.26842
"64",0.11572
"65",0.04318
"66",0.2725
"67",0.21359
"68",0.05608
"69",0.0713
"70",0.94308
"71",0.404
"72",0.83214
"73",0.85218
"74",0.68774
"75",0.34807
"76",0.45046
"77",0.20952
"78",0.90933
"79",0.27404
"80",0.86881
"81",0.35867
"82",0.89056
"83",0.12702
"84",0.12612
"85",0.65518
"86",0.61028
"87",0.50332
"88",0.24183
"89",0.15094
"90",0.02557
"91",0.30822
"92",0.83093
"93",0.89312
"94",0.82852
"95",0.94576
"96",0.97164
"97",0.26802
"98",0.81377
"99",0.09839
"100",0.49111
"101",0.96851
"102",0.95361
"103",0.25116
"104",0.22755
"105",0.05063
"106",0.58073
"107",0.15999
"108",0.04583
"109",0.33364
"110",0.51762
"111",0.57387
"112",0.67474
"113",0.75195
"114",0.10494
"115",0.5008
"116",0.82091
"117",0.33763
"118",0.6753
"119",0.30746
"120",0.14265
"121",0.42989
"122",0.53646
"123",0.18578
"124",0.15945
"125",0.94077
"126",0.7187
"127",0.83704
"128",0.05036
"129",0.16897
"130",0.06005
"131",0.54252
"132",0.9334
"133",0.73172
"134",0.83737
"135",0.69233
"136",0.65739
"137",0.31062
"138",0.93142
"139",0.00058
"140",0.68804
"141",0.1476
"142",0.73897
"143",0.27122
"144",0.40655
"145",0.72001
"146",0.78605
"147",0.00887
"148",0.90228
"149",0.89007
"150",0.93439
"151",0.53488
"152",0.7478
"153",0.65006
"154",0.78229
"155",0.0809
"156",0.42708
"157",0.99685
"158",0.9443
"159",0.50779
"160",0.40788
"161",0.72242
"162",0.30962
"163",0.67786
"164",0.13224
"165",0.12937
"166",0.49694
"167",0.65065
"168",0.72526
"169",0.67642
"170",0.55681
"171",0.75196
"172",0.5958
"173",0.54693
"174",0.56428
"175",0.27728
"176",0.38536
"177",0.49324
"178",0.59341
