"","V1"
"1",0.02584
"2",0.11887
"3",0.02963
"4",0.00152
"5",0.02561
"6",0.02704
"7",0.59746
"8",0.00178
"9",0.03968
"10",0.00663
"11",0.00021
"12",0.01173
"13",0.36885
"14",0.02314
"15",0.00057
"16",0.04434
"17",0.07111
"18",0.00139
"19",0.00105
"20",0.03862
"21",0.0044
"22",0.00122
"23",0.00193
"24",0.00329
"25",0.00162
"26",0.00327
"27",0.24541
"28",0.00054
"29",0.00242
"30",0.00028
"31",0.02629
"32",0.00319
"33",0.53634
"34",0.00115
"35",0.03814
"36",0.00188
"37",0.0106
"38",0.04791
"39",0.0539
"40",0.39099
"41",0.00047
"42",0.14822
"43",0.09801
"44",0.00116
"45",0.10281
"46",0.00098
"47",3e-05
"48",0.00017
"49",0.01074
"50",0.11009
"51",0.1217
"52",0.00013
"53",0.0052
"54",0.03291
"55",0.13123
"56",0.12054
"57",0.06568
"58",0.00083
"59",0
"60",0.30721
"61",0.18057
"62",0.18214
"63",0.2547
"64",0.01358
"65",0.01325
"66",0.11793
"67",0.00717
"68",2e-05
"69",0.08242
"70",0.65747
"71",0.07323
"72",0.00487
"73",0.00022
"74",0.04368
"75",0.2039
"76",0.00043
"77",0.00827
"78",0.12876
"79",0.02421
"80",0.03723
"81",0.06756
"82",0.00568
"83",0.06545
"84",0.03031
"85",0.03563
"86",0.07065
"87",0.16752
"88",0.04898
"89",0
"90",0.00035
"91",0.00011
"92",0.00583
"93",0.00806
"94",0.00518
"95",0.00514
"96",0.26593
"97",0.00153
"98",0.37862
"99",0.57338
"100",0.49468
"101",0.69201
"102",0.00339
"103",0.00122
"104",0.00276
"105",0.14755
"106",1e-05
"107",0.00096
"108",1e-05
"109",0.02916
"110",0
"111",0.14236
"112",0.24339
"113",0.00924
"114",0.0462
"115",0.08111
"116",0.54252
"117",0.83518
"118",0.07645
"119",0.2653
"120",0.03775
"121",0.0016
"122",0.04578
"123",0.01952
"124",0.00087
"125",0.18597
"126",0.31818
"127",0.10524
"128",0.0085
"129",0.46374
"130",0.00183
"131",0.00146
"132",0.05569
"133",0.00228
"134",0.05751
"135",0.01349
"136",0.00402
"137",0.00668
"138",0.00054
"139",0.12193
"140",0.00311
"141",0.00125
"142",0.01263
"143",0.07587
"144",0.04468
"145",0.00111
"146",0.32257
"147",0.01145
"148",0.00582
"149",0.32388
"150",0.05743
"151",0.02097
"152",0.28912
"153",0.0149
"154",0.02575
"155",0
"156",0.00224
"157",0.00035
"158",0.19923
"159",0.00378
"160",0.00992
"161",0.10672
"162",0.09531
"163",0.00624
"164",0.00032
"165",0.00673
"166",0.19413
"167",0.45255
"168",0.04483
"169",0.05111
"170",0.30793
"171",0.00135
"172",0.01958
"173",0.00885
"174",0.17143
"175",0.02249
"176",0.0255
"177",0.00676
"178",0.09168
"179",0
"180",5e-04
"181",0.0075
"182",0.26832
"183",0.00048
"184",0.02588
"185",0.12642
"186",0
"187",0.19582
"188",0.00523
"189",0.00508
