"","V1"
"1",0.395263671875
"2",0.5
"3",0.29052734375
"4",0.303619384765625
"5",0.604736328125
"6",0.5
"7",0.29052734375
"8",0.415905952453613
"9",0.166152954101563
"10",0.70947265625
"11",0.833847045898437
"12",0.74827766418457
"13",0.833847045898437
"14",0.227249145507813
"15",0.928268432617188
"16",0.314529418945313
"17",0.407264709472656
"18",0.940765380859375
"19",0.401809692382813
"20",0.668188095092773
"21",0.70947265625
"22",0.5
"23",0.105056762695313
"24",0.118942260742188
"25",0.15087890625
"26",0.08978271484375
"27",0.407264709472656
"28",0.5
"29",0.38720703125
"30",0.787821888923645
"31",0.80615234375
"32",0.303619384765625
"33",0.940765380859375
"34",0.598190307617187
"35",0.8665771484375
"36",0.303619384765625
"37",0.808344841003418
"38",0.973760604858398
"39",0.685470581054688
"40",0.5
"41",0.21197509765625
"42",0.227249145507813
"43",0.5
"44",0.592735290527344
"45",0.0262393951416016
"46",0.9713134765625
"47",0.131587982177734
"48",0.303619384765625
"49",0.989364624023438
"50",0.0245208740234375
"51",0.5
"52",0.604736328125
"53",0.88671875
"54",0.314529418945313
"55",0.395263671875
"56",0.676197052001953
"57",0.0717315673828125
"58",0.118942260742188
"59",0.928268432617188
"60",0.928268432617188
"61",0.15087890625
"62",0.84912109375
"63",0.2265625
"64",0.916465759277344
"65",0.350554019212723
"66",0.738266468048096
"67",0.240341186523438
"68",0.685470581054688
"69",0.03271484375
"70",0.84912109375
"71",0.685470581054688
"72",0.01544189453125
"73",0.74609375
"74",0.696380615234375
"75",0.5
"76",0.592735290527344
"77",0.314529418945313
"78",0.38720703125
"79",0.0546875
"80",0.74609375
"81",0.88671875
"82",0.36328125
"83",0.240341186523438
"84",0.951873779296875
"85",0.131587982177734
"86",0.5
"87",0.0037689208984375
"88",0.1334228515625
"89",0.08978271484375
"90",0.0843187719583512
"91",0.9713134765625
"92",0.833847045898437
"93",0.649445980787277
"94",0.401809692382813
"95",0.894943237304688
"96",0.868412017822266
"97",0.604736328125
"98",0.227249145507813
"99",0.91021728515625
"100",0.166152954101563
"101",0.29052734375
"102",0.1334228515625
"103",0.84912109375
"104",0.70947265625
"105",0.982421875
"106",0.0063629150390625
"107",0.85546875
"108",0.61279296875
"109",0.240341186523438
"110",0.88671875
"111",0.5
"112",0.415905952453613
"113",0.338819742202759
"114",0.314529418945313
"115",0.0173448324203491
"116",0.153728127479553
"117",0.951873779296875
"118",0.772750854492188
"119",0.940765380859375
"120",0.9713134765625
"121",0.894943237304688
"122",0.940765380859375
"123",0.1334228515625
"124",0.80615234375
"125",0.70947265625
"126",0.661180257797241
"127",0.881057739257812
"128",0.91021728515625
"129",0.979305267333984
"130",0.19384765625
"131",0.401809692382813
"132",0.588098526000976
"133",0.166152954101563
"134",0.968215942382812
"135",0.411901473999024
"136",0.0835342407226563
"137",0.0576591491699219
"138",0.166152954101563
"139",0.951873779296875
"140",0.5
"141",0.08978271484375
"142",0.685470581054688
"143",0.5
"144",0.179641723632813
"145",0.951873779296875
"146",0.953857421875
"147",0.303619384765625
"148",0.212178111076355
"149",0.696380615234375
"150",0.395263671875
"151",0.118942260742188
"152",0.407264709472656
"153",0.61279296875
"154",0.598190307617187
"155",0.772750854492188
"156",0.5
"157",0.668188095092773
"158",0.820358276367187
"159",0.21197509765625
"160",0.314529418945313
"161",0.303619384765625
"162",0.395263671875
"163",0.5
"164",0.5
"165",0.5
"166",0.03271484375
"167",0.5
"168",0.953857421875
"169",0.61279296875
"170",0.323802947998047
"171",0.227249145507813
"172",0.314529418945313
"173",0.928268432617188
"174",0.8665771484375
"175",0.833847045898437
"176",0.323802947998047
"177",0.942340850830078
"178",0.227249145507813
"179",0.961593627929688
"180",0.74827766418457
"181",0.166152954101563
"182",0.975479125976562
"183",0.03271484375
"184",0.2744140625
"185",0.894943237304688
"186",0.2265625
"187",0.868412017822266
"188",0.0319573283195496
"189",0.314529418945313
"190",0.588098526000976
"191",0.916465759277344
"192",0.179641723632813
"193",0.202436447143555
"194",0.8665771484375
"195",0.894943237304688
"196",0.772750854492188
"197",0.131587982177734
"198",0.604736328125
"199",0.118942260742188
"200",0.411901473999024
"201",0.0262393951416016
"202",0.29052734375
"203",0.5
"204",0.314529418945313
"205",0.70947265625
"206",0.78802490234375
"207",0.15087890625
"208",0.5
"209",0.411901473999024
"210",0.118942260742188
"211",0.772750854492188
"212",0.179641723632813
"213",0.833847045898437
"214",0.70947265625
"215",0.0717315673828125
"216",0.131587982177734
"217",0.685470581054688
"218",0.598190307617187
"219",0.676197052001953
"220",0.15087890625
"221",0.668188095092773
"222",0.797563552856445
"223",0.63671875
"224",0.592735290527344
"225",0.143139362335205
"226",0.592735290527344
"227",0.29052734375
"228",0.598190307617187
"229",0.8665771484375
"230",0.5
"231",0.15087890625
"232",0.8665771484375
"233",0.604736328125
"234",0.5
"235",0.592735290527344
"236",0.0669002532958985
"237",0.990394592285156
"238",0.685470581054688
"239",0.240341186523438
"240",0.604736328125
"241",0.0625
"242",0.5
"243",0.323802947998047
"244",0.88671875
"245",0.661180257797241
"246",0.979305267333984
"247",0.7255859375
"248",0.592735290527344
"249",0.8665771484375
"250",0.0319573283195496
"251",0.179641723632813
"252",0.598190307617187
"253",0.604736328125
"254",0.25390625
"255",0.407264709472656
"256",0.5
"257",0.84912109375
"258",0.598190307617187
"259",0.19384765625
"260",0.592735290527344
"261",0.5
"262",0.227249145507813
"263",0.314529418945313
"264",0.0144796371459961
"265",0.588098526000976
"266",0.00845026969909669
"267",0.982421875
"268",0.598190307617187
"269",0.046142578125
"270",0.5
"271",0.604736328125
"272",0.5
"273",0.29052734375
"274",0.993637084960938
"275",0.376953125
"276",0.984375
"277",0.584094047546386
"278",0.5
"279",0.951873779296875
"280",0.401809692382813
"281",0.592735290527344
"282",0.5
"283",0.676197052001953
"284",0.828125
"285",0.70947265625
"286",0.588098526000976
"287",0.314529418945313
"288",0.623046875
"289",0.833847045898437
"290",0.0946235656738281
"291",0.592735290527344
"292",0.772750854492188
"293",0.61279296875
"294",0.0317840576171875
"295",0.685470581054688
"296",0.797563552856445
"297",0.171875
"298",0.0106353759765625
"299",0.0391769409179688
"300",0.5
"301",0.894943237304688
"302",0.105056762695313
"303",0.0835342407226563
"304",0.696380615234375
"305",0.894943237304688
"306",0.8665771484375
"307",0.84912109375
"308",0.08978271484375
"309",0.996401309967041
"310",0.395263671875
"311",0.1334228515625
"312",0.345018982887268
"313",0.29052734375
"314",0.261733531951904
"315",0.2265625
"316",0.5
"317",0.059234619140625
"318",0.227249145507813
"319",0.401809692382813
"320",0.072998046875
"321",0.407264709472656
"322",0.29052734375
"323",0.980712890625
"324",0.191655158996582
"325",0.303619384765625
"326",0.5
"327",0.916465759277344
"328",0.401809692382813
"329",0.240341186523438
"330",0.5
"331",0.592735290527344
"332",0.78802490234375
"333",0.927001953125
"334",0.003173828125
"335",0.401809692382813
"336",0.166152954101563
"337",0.314529418945313
"338",0.738266468048096
"339",0.303619384765625
"340",0.5
"341",0.588098526000976
"342",0.303619384765625
"343",0.905376434326172
"344",0.668188095092773
"345",0.401809692382813
"346",0.592735290527344
"347",0.118942260742188
"348",0.61279296875
"349",0.772750854492188
"350",0.227249145507813
"351",0.820358276367187
"352",0.21197509765625
"353",0.592735290527344
"354",0.598190307617187
"355",0.833847045898437
"356",0.25390625
"357",0.74827766418457
"358",0.227249145507813
"359",0.0173448324203491
"360",0.940765380859375
"361",0.960823059082031
"362",0.5
"363",0.696380615234375
"364",0.0384063720703125
"365",0.759658813476562
"366",0.5
"367",0.772750854492188
"368",0.34375
"369",0.227249145507813
"370",0.685470581054688
"371",0.604736328125
"372",0.19384765625
"373",0.80615234375
"374",0.738266468048096
"375",0.407264709472656
"376",0.5
"377",0.0384063720703125
"378",0.407264709472656
"379",0.314529418945313
"380",0.772750854492188
"381",0.676197052001953
"382",0.401809692382813
"383",0.376953125
"384",0.80615234375
"385",0.996826171875
"386",0.25172233581543
"387",0.91021728515625
"388",0.143139362335205
"389",0.5
"390",0.78802490234375
"391",0.401809692382813
"392",0.5
"393",0.676197052001953
"394",0.85546875
"395",0.5
"396",0.5
"397",0.993637084960938
"398",0.314529418945313
"399",0.676197052001953
"400",0.676197052001953
"401",0.166152954101563
"402",0.415905952453613
"403",0.833847045898437
"404",0.588098526000976
"405",0.833847045898437
"406",0.623046875
"407",0.951873779296875
"408",0.395263671875
"409",0.407264709472656
"410",0.303619384765625
"411",0.415905952453613
"412",0.7255859375
"413",0.9453125
"414",0.598190307617187
"415",0.598190307617187
"416",0.0286865234375
"417",0.5
"418",0.407264709472656
"419",0.5
"420",0.696380615234375
"421",0.19384765625
"422",0.5
"423",0.5
"424",0.179641723632813
"425",0.598190307617187
"426",0.29052734375
"427",0.598190307617187
"428",0.407264709472656
"429",0.395263671875
