"","V1"
"1",3e-05
"2",0
"3",0.00017
"4",0
"5",0.00023
"6",6e-04
"7",0.00412
"8",0
"9",6e-05
"10",0
"11",0
"12",0
"13",0.02045
"14",1e-05
"15",0
"16",2e-04
"17",3e-05
"18",0.00049
"19",0
"20",0.00222
"21",0.00181
"22",8e-05
"23",0
"24",1e-05
"25",0.00089
"26",1e-05
"27",0.02642
"28",0.00616
"29",0
"30",0
"31",0.00011
"32",0.00019
"33",0.08157
"34",8e-05
"35",0.01558
"36",0.00045
"37",0.02269
"38",0.00036
"39",7e-05
"40",0.00145
"41",0
"42",3e-05
"43",0.0021
"44",3e-05
"45",0.00039
"46",0
"47",3e-05
"48",1e-05
"49",0
"50",0.0038
"51",0.00182
"52",0
"53",0.00031
"54",5e-05
"55",0.00126
"56",6e-05
"57",0.00016
"58",0
"59",1e-05
"60",0.07325
"61",7e-05
"62",0.00056
"63",0.06276
"64",0.00015
"65",0.00021
"66",0.00137
"67",0
"68",0
"69",0.00282
"70",0.13121
"71",0.00514
"72",0.00045
"73",0
"74",0.00281
"75",0.00042
"76",0
"77",8e-05
"78",6e-05
"79",0
"80",0.00066
"81",0.00025
"82",0
"83",0.00511
"84",0.00016
"85",0.00049
"86",0.01695
"87",0.00049
"88",0.00026
"89",0
"90",0
"91",0
"92",0
"93",0.00011
"94",2e-05
"95",3e-05
"96",0.03633
"97",1e-05
"98",0.00104
"99",0.02124
"100",0.09958
"101",0.00117
"102",0
"103",4e-05
"104",1e-05
"105",0.00629
"106",0
"107",1e-05
"108",0
"109",0.00109
"110",0
"111",0.00222
"112",0.0153
"113",2e-04
"114",0.00043
"115",1e-05
"116",0.00069
"117",0.00048
"118",0.00069
"119",0.00223
"120",0.00021
"121",5e-05
"122",0.00068
"123",4e-05
"124",0.00038
"125",0.00272
"126",0.00862
"127",0.00144
"128",0
"129",3e-04
"130",0
"131",1e-05
"132",3e-04
"133",0.00087
"134",0.00016
"135",1e-04
"136",0.00011
"137",0
"138",0
"139",0.00159
"140",4e-05
"141",0
"142",2e-05
"143",0.00015
"144",0
"145",0
"146",6e-05
"147",0
"148",7e-05
"149",0.0447
"150",0.00213
"151",0.00016
"152",0.00972
"153",0
"154",0.00088
"155",0
"156",0.00059
"157",0.00024
"158",0.00834
"159",0
"160",0.01077
"161",0.00549
"162",0.01294
"163",1e-05
"164",0
"165",1e-05
"166",0.00021
"167",0.05167
"168",0.01494
"169",0
"170",0.00335
"171",0
"172",0.00106
"173",0.00023
"174",0.00128
"175",0.00017
"176",0.04574
"177",0.00024
"178",3e-04
"179",0
"180",0
"181",0
"182",0.00037
"183",0
"184",0.00708
"185",0.00072
"186",3e-05
"187",0.00569
"188",0
"189",3e-05
"190",0.00718
"191",3e-05
"192",0.00206
"193",0
"194",1e-05
"195",0.00525
"196",0
"197",8e-05
"198",0
"199",0
"200",0.00284
"201",0
"202",0.01728
"203",4e-05
"204",0
"205",3e-05
"206",0
"207",0
"208",0
"209",1e-04
"210",0.00029
"211",0.00171
"212",0.00041
"213",0.03304
"214",0.00021
"215",0.00022
"216",0.00019
"217",0
"218",0.00102
"219",0.00085
"220",0.00096
"221",0
"222",0.00077
"223",0.00016
"224",0.00025
"225",0.00121
"226",0
"227",1e-05
"228",0.00298
"229",6e-04
"230",0.00184
"231",0
"232",0
"233",3e-05
"234",0.00123
"235",8e-05
"236",0.00075
"237",0
"238",0.00096
"239",0.00153
"240",4e-05
"241",6e-05
"242",0.00324
"243",0
"244",0.00042
"245",1e-05
"246",2e-05
"247",0.02332
"248",0.01409
"249",3e-05
"250",0
"251",1e-05
"252",0.00028
"253",0.00016
"254",9e-05
"255",0
"256",0.00024
"257",0
"258",0
"259",0.0018
"260",1e-05
"261",0.08204
"262",0
"263",0.00348
"264",3e-05
"265",0.00011
"266",0.00017
"267",0
"268",0.00143
"269",0.00049
"270",0
"271",0.00051
"272",1e-05
"273",0.0012
"274",0.00048
"275",0.1199
"276",0.00205
"277",0.02493
"278",0
"279",5e-05
"280",2e-05
"281",0.01381
"282",1e-05
"283",0
"284",0.00012
"285",0.00681
"286",0.00018
"287",0.0032
"288",5e-05
"289",9e-05
"290",0.00011
"291",0
"292",0.00012
"293",0.00012
"294",0.00014
"295",2e-05
"296",0
"297",3e-05
"298",1e-05
"299",0
"300",0
"301",0.01308
"302",0.02366
"303",0.00027
"304",0.01223
"305",4e-05
"306",0.00023
"307",0.00014
"308",0
"309",0.00114
"310",0.01482
"311",0
"312",0.00011
"313",0.00552
"314",2e-05
"315",3e-05
"316",0
"317",0.00761
"318",2e-05
"319",0.00173
"320",0
"321",0
"322",0
"323",0
"324",0.00119
"325",0
"326",0
"327",0.00031
"328",1e-05
"329",3e-05
"330",0
"331",7e-05
"332",5e-04
"333",0.01085
"334",0
"335",0
"336",0.00095
"337",0.00086
"338",0.00027
"339",0
"340",0.00107
"341",0.00054
"342",0
"343",1e-05
"344",2e-05
"345",0.00018
"346",0
"347",0.00797
"348",0.0165
"349",0.00663
"350",0.00013
"351",2e-04
"352",0.00095
"353",0.00276
"354",0
"355",0.00036
"356",1e-05
"357",0
"358",4e-05
"359",0
"360",4e-05
"361",1e-04
"362",0
"363",0.0186
"364",0
"365",0.00021
"366",4e-05
"367",0.00016
"368",0
"369",1e-05
"370",0
"371",5e-05
"372",0.00035
"373",1e-05
"374",0.00042
"375",2e-05
"376",0.01389
"377",0
"378",0
"379",0.00079
"380",1e-05
"381",0
"382",0
"383",0
"384",3e-05
"385",0
"386",0
"387",0.00028
"388",0.00015
"389",0
"390",0.04115
"391",0.00068
"392",5e-05
"393",0.00306
"394",0
"395",0
"396",0
"397",0.0035
"398",2e-05
"399",0.00159
"400",0.0014
"401",1e-05
"402",0.00494
"403",0
"404",8e-05
"405",0.00032
"406",0
"407",0.00032
"408",0
"409",0
"410",0.00057
"411",0.00303
"412",3e-05
"413",0.01324
"414",0
"415",0
"416",0.00012
"417",0.00049
"418",0
"419",0.00186
"420",2e-05
"421",2e-05
"422",7e-05
"423",0.00051
"424",0.00027
"425",1e-05
"426",9e-05
"427",0
"428",0.00011
"429",0.00072
"430",1e-05
"431",0.00073
"432",0.03454
"433",0.00016
"434",0.00845
"435",0.00022
"436",7e-05
"437",0
"438",0.00232
"439",0.00241
"440",2e-05
"441",0.00021
"442",0.00447
"443",0
"444",0
"445",0.00333
"446",0
"447",1e-04
"448",0
"449",0.0021
"450",0.00015
"451",0
"452",0
"453",3e-05
"454",0.00015
"455",1e-05
"456",2e-05
"457",0.01621
"458",0
"459",3e-05
"460",1e-05
"461",0.00028
"462",0.00021
"463",0
"464",0.00012
"465",0
"466",3e-05
"467",0.00072
"468",6e-05
"469",1e-05
"470",0.00121
"471",0
"472",0.00014
"473",1e-05
"474",0.00095
"475",4e-05
"476",2e-04
"477",0.00026
"478",0
"479",0
"480",2e-05
"481",7e-05
"482",0.00672
"483",0
"484",0.00525
"485",0.01032
"486",0
"487",0.00157
"488",0
"489",0.0014
"490",0.00022
"491",0.00089
"492",0
"493",3e-05
"494",0.00463
"495",0.00018
"496",0
"497",0
"498",0.00681
"499",1e-05
"500",0.00064
"501",1e-05
"502",0
"503",5e-04
"504",0
"505",0.0026
"506",0.00045
"507",0.00028
"508",0.00032
"509",0.00016
"510",0
"511",0
"512",0
"513",0
"514",0.00016
"515",0.00269
"516",0
"517",0.00011
"518",0.00015
"519",0.00288
"520",1e-05
"521",0
"522",5e-05
"523",0.01291
"524",0.00053
"525",0
"526",0
"527",0
"528",2e-05
"529",0.00019
"530",0.00852
"531",0
"532",0.00114
"533",0.0044
"534",0.00013
"535",0.00046
"536",0.00057
"537",2e-05
"538",0
"539",0.00442
"540",0.00108
"541",0.00164
"542",0.00201
"543",1e-05
"544",0.00076
"545",0.00575
"546",1e-05
"547",0.00574
"548",0.00227
"549",0.00083
"550",2e-05
"551",0.00037
"552",2e-05
"553",1e-05
"554",0.00043
"555",3e-05
"556",0
"557",0.00615
"558",4e-05
"559",0.00279
"560",0
"561",0.00276
"562",0.00019
"563",0
"564",0.00029
"565",0.00547
"566",0.00216
"567",0.00036
"568",1e-05
"569",0.00198
"570",0
"571",0.00194
"572",0.00032
"573",0.00236
"574",0.00147
"575",0.00741
"576",4e-05
"577",0.00018
"578",3e-05
"579",0
"580",0
"581",4e-05
"582",0.00228
"583",2e-05
"584",0
"585",0.00792
"586",0.00042
"587",0.00326
"588",0.02734
"589",5e-05
"590",0
"591",0.00023
"592",0.00059
"593",0.00132
"594",0.01849
"595",0.00051
"596",4e-05
"597",7e-05
"598",0.00045
"599",0.0068
"600",0
"601",0.00022
"602",0
"603",0
"604",3e-05
"605",0
"606",0
"607",1e-04
"608",0
"609",0.00017
"610",0.00037
"611",1e-05
"612",0
"613",0.01312
"614",0
"615",2e-05
"616",0.00086
"617",0
"618",0
"619",0.00682
"620",0.01232
"621",6e-05
"622",0
"623",4e-05
"624",0
"625",1e-05
"626",0.00608
"627",0
"628",0.01078
"629",0.00075
"630",0.00883
"631",1e-05
"632",3e-05
"633",0.00032
"634",0.00175
"635",0.00052
"636",0.00226
"637",0.00013
"638",0
"639",0.00015
"640",1e-05
"641",0
"642",0.00079
"643",0.00033
"644",4e-05
"645",5e-05
"646",0.0015
"647",0.00105
"648",0.0158
"649",0.00632
"650",0.00044
"651",0.00097
"652",0.00502
"653",0.00434
"654",3e-05
"655",0
"656",0.08028
"657",4e-05
"658",0
"659",2e-05
"660",8e-05
"661",0.00097
"662",0
"663",0.00027
"664",0.00164
"665",3e-05
"666",5e-05
"667",1e-05
"668",2e-05
"669",0
"670",6e-05
"671",0
"672",0.00013
"673",0
"674",0
"675",3e-05
"676",0.00179
"677",0.0015
"678",0
"679",5e-05
"680",0.00548
"681",0.00218
"682",0
"683",0.00018
"684",0
"685",3e-05
"686",0.00156
"687",0.00083
"688",0
"689",0.01126
"690",0.00127
"691",0.00024
"692",0.00015
"693",0
"694",3e-05
"695",0.00019
"696",0.00412
"697",0.00041
"698",1e-05
"699",0.00131
"700",2e-04
"701",8e-05
"702",0
"703",2e-05
"704",0.00232
"705",0
"706",0.00083
